hood_id,crime,year,rate
153,theftfrommv,2016,98.12854767
153,theftfrommv,2017,61.69031525
153,theftfrommv,2018,60.24903107
153,theftfrommv,2019,144.3474884
153,theftfrommv,2020,232.9946289
153,theftfrommv,2021,173.70047
153,theftfrommv,2022,247.6933556
153,theftfrommv,2023,396.3093567
153,theftover,2014,15.58360577
153,theftover,2015,7.385524273
153,theftover,2016,42.05509186
153,theftover,2017,34.27239609
153,theftover,2018,33.4716835
153,theftover,2019,26.24499702
153,theftover,2020,19.41621971
153,theftover,2021,32.16675186
153,theftover,2022,56.96202469
153,theftover,2023,30.96166992
152,assault,2014,271.9109802
152,assault,2015,213.0592804
152,assault,2016,328.6210327
152,assault,2017,284.8312073
152,assault,2018,271.5947266
152,assault,2019,300.3870239
152,assault,2020,227.9981689
152,assault,2021,299.8415833
152,assault,2022,322.688324
152,assault,2023,262.5102539
152,autotheft,2014,107.4996872
152,autotheft,2015,119.0625381
152,autotheft,2016,198.4127045
152,autotheft,2017,84.84334564
152,autotheft,2018,82.65926361
152,autotheft,2019,173.3002167
152,autotheft,2020,131.0989532
152,autotheft,2021,254.582489
152,autotheft,2022,244.7980347
152,autotheft,2023,470.3308716
152,biketheft,2014,44.26457596
